raw_content,pairings,id,updated,link,tags,title
"We need to increase the background size of 7 photos.<br /><br />
We are helping a local church with some image editing and need 7 photos retouched.<br /><br />
The idea is to increase the size of the golden background to ensure there is enough space for the bleed when the image is printed.<br /><br />
The image of the saint needs to stay the same but the background needs to increase in size by 20%.<br /><br />
Please see one image attached and let me know if you can complete the job in 24 hours.<br /><br />
Thanks<br /><br /><b>Budget</b>: $140
<br /><b>Posted On</b>: May 18, 2023 09:17 UTC<br /><b>Category</b>: Graphic Design<br /><b>Skills</b>:Adobe Photoshop,     Image Editing,     Graphic Design,     Adobe Illustrator,     Photo Retouching,     Photo Editing,     Photo Manipulation    
<br /><b>Country</b>: Australia
<br /><a href=""https://www.upwork.com/jobs/Increase-the-size-the-background-portrait-images_%7E01912ab2e27bb948ac?source=rss"">click to apply</a>","Budget--: $140--Posted On--: May 18, 2023 09:17 UTC--Category--: Graphic Design--Skills--:Adobe Photoshop,     Image Editing,     Graphic Design,     Adobe Illustrator,     Photo Retouching,     Photo Editing,     Photo Manipulation--Country--: Australia-click to apply",https://www.upwork.com/jobs/Increase-the-size-the-background-portrait-images_~01912ab2e27bb948ac?source=rss,2023-05-18T09:17:36+00:00,https://www.upwork.com/jobs/Increase-the-size-the-background-portrait-images_%7E01912ab2e27bb948ac?source=rss,"None-We need to increase the background size of 7 photos.-br-We are helping a local church with some image editing and need 7 photos retouched.-br-The idea is to increase the size of the golden background to ensure there is enough space for the bleed when the image is printed.-br-The image of the saint needs to stay the same but the background needs to increase in size by 20%.-br-Please see one image attached and let me know if you can complete the job in 24 hours.-br-Thanks-b-Budget-b-: $140-b-Posted On-b-: May 18, 2023 09:17 UTC-b-Category-b-: Graphic Design-b-Skills-b-:Adobe Photoshop,     Image Editing,     Graphic Design,     Adobe Illustrator,     Photo Retouching,     Photo Editing,     Photo Manipulation-b-Country-b-: Australia-a-click to apply",Increase the size of the background of 7 portrait images. - Upwork
"You will be editing 6 product photographs for a Clothing Website<br />
The Lavender front and back simply need the Background taken out and replaced with a white background.<br />
The Cream hoodie front and Sand back also require this<br />
The Cream hoodie back and Sand front require shading changes. The raw pictures are irretrievable so the photos lighting and contrast on these images need to be fixed.<br /><br /><b>Budget</b>: $50
<br /><b>Posted On</b>: May 18, 2023 09:05 UTC<br /><b>Category</b>: Graphic Design<br /><b>Skills</b>:Clothing,     Web Design,     Adobe Photoshop,     Photo Editing,     Product Photography,     Image Editing,     Graphic Design    
<br /><b>Country</b>: United States
<br /><a href=""https://www.upwork.com/jobs/Clear-out-Background-for-Product_%7E01c5233b0675e60b65?source=rss"">click to apply</a>","Budget--: $50--Posted On--: May 18, 2023 09:05 UTC--Category--: Graphic Design--Skills--:Clothing,     Web Design,     Adobe Photoshop,     Photo Editing,     Product Photography,     Image Editing,     Graphic Design--Country--: United States-click to apply",https://www.upwork.com/jobs/Clear-out-Background-for-Product_~01c5233b0675e60b65?source=rss,2023-05-18T09:05:41+00:00,https://www.upwork.com/jobs/Clear-out-Background-for-Product_%7E01c5233b0675e60b65?source=rss,"None-You will be editing 6 product photographs for a Clothing Website-br-The Lavender front and back simply need the Background taken out and replaced with a white background.-br-The Cream hoodie front and Sand back also require this-br-The Cream hoodie back and Sand front require shading changes. The raw pictures are irretrievable so the photos lighting and contrast on these images need to be fixed.-b-Budget-b-: $50-b-Posted On-b-: May 18, 2023 09:05 UTC-b-Category-b-: Graphic Design-b-Skills-b-:Clothing,     Web Design,     Adobe Photoshop,     Photo Editing,     Product Photography,     Image Editing,     Graphic Design-b-Country-b-: United States-a-click to apply",Clear out Background for Product - Upwork
"Need a 12 hour turnaround<br /><br />
Will provide photos for a professional collage of memories for my daughters 18th birthday party.<br /><br />
I need a fun, upbeat and professional presentation. Limited text. Mostly photos. Some photo improvements.<br /><br />
I can provide images in 2 hours.<br /><br />
Needs to be fun, engaging, humorous yet living for a beautiful young lady.<br /><br />
I have no creative talent or input so I need a lot of autonomy on your behalf.<br /><br />
I have a printer to print onto a large core flute medium. Need inal product in 14 hours.<br /><br />
I am not wanting or willing to accept a simple square matrix of photos supplied. Needs to be engaging, thoughtful and fun.<br /><br />
Thanks <br /><br /><b>Budget</b>: $200
<br /><b>Posted On</b>: May 18, 2023 08:48 UTC<br /><b>Category</b>: Graphic Design<br /><b>Skills</b>:Graphic Design,     Cartoon Art,     Photo Editing,     Caricature,     Freestyle Drawing    
<br /><b>Country</b>: Australia
<br /><a href=""https://www.upwork.com/jobs/Photo-collage-memory-board-for-daughters-18th_%7E019ca60813aceaea44?source=rss"">click to apply</a>","Budget--: $200--Posted On--: May 18, 2023 08:48 UTC--Category--: Graphic Design--Skills--:Graphic Design,     Cartoon Art,     Photo Editing,     Caricature,     Freestyle Drawing--Country--: Australia-click to apply",https://www.upwork.com/jobs/Photo-collage-memory-board-for-daughters-18th_~019ca60813aceaea44?source=rss,2023-05-18T08:48:40+00:00,https://www.upwork.com/jobs/Photo-collage-memory-board-for-daughters-18th_%7E019ca60813aceaea44?source=rss,"None-Need a 12 hour turnaround-br-Will provide photos for a professional collage of memories for my daughters 18th birthday party.-br-I need a fun, upbeat and professional presentation. Limited text. Mostly photos. Some photo improvements.-br-I can provide images in 2 hours.-br-Needs to be fun, engaging, humorous yet living for a beautiful young lady.-br-I have no creative talent or input so I need a lot of autonomy on your behalf.-br-I have a printer to print onto a large core flute medium. Need inal product in 14 hours.-br-I am not wanting or willing to accept a simple square matrix of photos supplied. Needs to be engaging, thoughtful and fun.-br-Thanks-b-Budget-b-: $200-b-Posted On-b-: May 18, 2023 08:48 UTC-b-Category-b-: Graphic Design-b-Skills-b-:Graphic Design,     Cartoon Art,     Photo Editing,     Caricature,     Freestyle Drawing-b-Country-b-: Australia-a-click to apply",Photo collage/ memory board for my daughters 18th - Upwork
"Hi<br /><br />
I have a 6 week contract and need a design thinking facilitator based in Australia. PLease send through resumes and previous work. <br /><br /><b>Hourly Range</b>: $18.00-$37.00

<br /><b>Posted On</b>: May 18, 2023 08:20 UTC<br /><b>Category</b>: UX/UI Design<br /><b>Skills</b>:Prototyping,     Mockup,     User Flow,     Interaction Design,     Usability Testing,     Journey Mapping,     Design Mockup,     Balsamiq,     Mural,     Miro    
<br /><b>Country</b>: Australia
<br /><a href=""https://www.upwork.com/jobs/Design-Thinking_%7E014029df995369d1d3?source=rss"">click to apply</a>","Hourly Range--: $18.00-$37.00--Posted On--: May 18, 2023 08:20 UTC--Category--: UX/UI Design--Skills--:Prototyping,     Mockup,     User Flow,     Interaction Design,     Usability Testing,     Journey Mapping,     Design Mockup,     Balsamiq,     Mural,     Miro--Country--: Australia-click to apply",https://www.upwork.com/jobs/Design-Thinking_~014029df995369d1d3?source=rss,2023-05-18T08:20:48+00:00,https://www.upwork.com/jobs/Design-Thinking_%7E014029df995369d1d3?source=rss,"None-Hi-br-I have a 6 week contract and need a design thinking facilitator based in Australia. PLease send through resumes and previous work.-b-Hourly Range-b-: $18.00-$37.00-b-Posted On-b-: May 18, 2023 08:20 UTC-b-Category-b-: UX/UI Design-b-Skills-b-:Prototyping,     Mockup,     User Flow,     Interaction Design,     Usability Testing,     Journey Mapping,     Design Mockup,     Balsamiq,     Mural,     Miro-b-Country-b-: Australia-a-click to apply",Design Thinking  - Upwork
"We are seeking a skilled and experienced WordPress developer/designer to revamp our existing WordPress website and create a shopfront. The project will take approximately 1 to 3 months to complete. The ideal candidate should have a strong background in Adobe Photoshop, Graphic Design, HTML, Web Design, Web Development, and WordPress.<br /><br />
The primary objective of this project is to create a modern and professional-looking website that is easy to navigate and user-friendly. The website should be designed to showcase our products and services effectively, and the shopfront should have an intuitive interface that makes it easy for customers to make purchases.<br /><br />
The website name is : www.foodlymadlydeeply.com<br /><br /><b>Hourly Range</b>: $5.00-$45.00

<br /><b>Posted On</b>: May 18, 2023 08:15 UTC<br /><b>Category</b>: Web Design<br /><b>Skills</b>:WordPress,     Web Design,     Graphic Design,     HTML,     Web Development,     Adobe Photoshop    
<br /><b>Country</b>: India
<br /><a href=""https://www.upwork.com/jobs/Revamping-Wordpress-website-amp-creating-shopfront_%7E01b0d6baf49ffee0ff?source=rss"">click to apply</a>","Hourly Range--: $5.00-$45.00--Posted On--: May 18, 2023 08:15 UTC--Category--: Web Design--Skills--:WordPress,     Web Design,     Graphic Design,     HTML,     Web Development,     Adobe Photoshop--Country--: India-click to apply",https://www.upwork.com/jobs/Revamping-Wordpress-website-amp-creating-shopfront_~01b0d6baf49ffee0ff?source=rss,2023-05-18T08:15:42+00:00,https://www.upwork.com/jobs/Revamping-Wordpress-website-amp-creating-shopfront_%7E01b0d6baf49ffee0ff?source=rss,"None-We are seeking a skilled and experienced WordPress developer/designer to revamp our existing WordPress website and create a shopfront. The project will take approximately 1 to 3 months to complete. The ideal candidate should have a strong background in Adobe Photoshop, Graphic Design, HTML, Web Design, Web Development, and WordPress.-br-The primary objective of this project is to create a modern and professional-looking website that is easy to navigate and user-friendly. The website should be designed to showcase our products and services effectively, and the shopfront should have an intuitive interface that makes it easy for customers to make purchases.-br-The website name is : www.foodlymadlydeeply.com-b-Hourly Range-b-: $5.00-$45.00-b-Posted On-b-: May 18, 2023 08:15 UTC-b-Category-b-: Web Design-b-Skills-b-:WordPress,     Web Design,     Graphic Design,     HTML,     Web Development,     Adobe Photoshop-b-Country-b-: India-a-click to apply",Revamping Wordpress website &amp; creating a shopfront - Upwork
"We are looking for a skilled image editor to work on a project that involves Adobe Photoshop, graphic design, and photo editing. The project is expected to take less than a month to complete. <br /><br />
The ideal candidate should have a strong background in image editing and be familiar with the latest software and techniques. The candidate must also have excellent attention to detail and be able to work efficiently to meet tight deadlines.<br /><br />
As a candidate, please submit a proposal outlining how you can best help with the project. Please include links to past completed projects that showcase your skills in image editing, graphic design, and photo editing. We are looking for someone who can bring creativity and professionalism to the project and who is able to work closely with our team to ensure that the final product meets our expectations.<br /><br />
Note: we are saling ebike. so need change the car into ebike<br /><br /><b>Budget</b>: $100
<br /><b>Posted On</b>: May 18, 2023 08:09 UTC<br /><b>Category</b>: Image Editing<br /><b>Skills</b>:Photo Editing,     Adobe Photoshop,     Graphic Design    
<br /><b>Country</b>: China
<br /><a href=""https://www.upwork.com/jobs/make-image-editing_%7E01980229dbfe8f2303?source=rss"">click to apply</a>","Budget--: $100--Posted On--: May 18, 2023 08:09 UTC--Category--: Image Editing--Skills--:Photo Editing,     Adobe Photoshop,     Graphic Design--Country--: China-click to apply",https://www.upwork.com/jobs/make-image-editing_~01980229dbfe8f2303?source=rss,2023-05-18T08:09:11+00:00,https://www.upwork.com/jobs/make-image-editing_%7E01980229dbfe8f2303?source=rss,"None-We are looking for a skilled image editor to work on a project that involves Adobe Photoshop, graphic design, and photo editing. The project is expected to take less than a month to complete.-br-The ideal candidate should have a strong background in image editing and be familiar with the latest software and techniques. The candidate must also have excellent attention to detail and be able to work efficiently to meet tight deadlines.-br-As a candidate, please submit a proposal outlining how you can best help with the project. Please include links to past completed projects that showcase your skills in image editing, graphic design, and photo editing. We are looking for someone who can bring creativity and professionalism to the project and who is able to work closely with our team to ensure that the final product meets our expectations.-br-Note: we are saling ebike. so need change the car into ebike-b-Budget-b-: $100-b-Posted On-b-: May 18, 2023 08:09 UTC-b-Category-b-: Image Editing-b-Skills-b-:Photo Editing,     Adobe Photoshop,     Graphic Design-b-Country-b-: China-a-click to apply",To make a image editing - Upwork
"Job Title: 3D Jewelry Photorealistic Expert<br /><br />
Job Type: Contract (potential long-term)<br /><br />
Duration: Project-based (7 jewelry designs [attached here], 10 final images per design)<br /><br />
Compensation: Competitive rate, based on experience. Discretionary bonus for exceptional performance.<br /><br />
Stock images will be provided. No CAD files will be provided.<br /><br />
Description:<br /><br />
We are looking for a highly skilled and detail-oriented 3D Jewelry Photorealistic Expert to create 3D renderings of 7 unique jewelry designs and 10 images per design for marketing purposes. <br /><br />
The ideal candidate will have a deep understanding of jewelry design, materials, and lighting, and the ability to produce photorealistic images that showcase our products in the best possible light.<br /><br />
Responsibilities:<br /><br />
-. Collaborate with the design team to understand design specifications and requirements for each jewelry piece<br />
-. Create high-quality 3D models of jewelry designs, incorporating accurate representations of materials, gemstones, and finishes<br />
-. Produce 10 photorealistic images per design, showcasing various angles, lighting scenarios, and backgrounds<br />
-. Ensure images meet the highest quality standards and accurately represent the physical product<br />
-. Revise and iterate on renderings based on feedback from the design team and stakeholders<br />
-. Deliver final images in a timely manner, adhering to project deadlines<br /><br /><br />
A Google Drive including all 10 expected final visual references will be provided after hiring <br /><br /><b>Budget</b>: $100
<br /><b>Posted On</b>: May 18, 2023 07:57 UTC<br /><b>Category</b>: 3D Modeling &amp; Rendering<br /><b>Skills</b>:3D Rendering,     3D Design,     3D Modeling,     Autodesk Maya,     3D Product Rendering,     Autodesk 3ds Max,     Photorealistic Rendering,     Adobe Photoshop,     Jewelry,     Jewelry Rendering    
<br /><b>Country</b>: Hong Kong
<br /><a href=""https://www.upwork.com/jobs/Jewelry-Photorealistic-Expert_%7E01920e4061172d898b?source=rss"">click to apply</a>","Budget--: $100--Posted On--: May 18, 2023 07:57 UTC--Category--: 3D Modeling & Rendering--Skills--:3D Rendering,     3D Design,     3D Modeling,     Autodesk Maya,     3D Product Rendering,     Autodesk 3ds Max,     Photorealistic Rendering,     Adobe Photoshop,     Jewelry,     Jewelry Rendering--Country--: Hong Kong-click to apply",https://www.upwork.com/jobs/Jewelry-Photorealistic-Expert_~01920e4061172d898b?source=rss,2023-05-18T07:57:16+00:00,https://www.upwork.com/jobs/Jewelry-Photorealistic-Expert_%7E01920e4061172d898b?source=rss,"None-Job Title: 3D Jewelry Photorealistic Expert-br-Job Type: Contract (potential long-term)-br-Duration: Project-based (7 jewelry designs [attached here], 10 final images per design)-br-Compensation: Competitive rate, based on experience. Discretionary bonus for exceptional performance.-br-Stock images will be provided. No CAD files will be provided.-br-Description:-br-We are looking for a highly skilled and detail-oriented 3D Jewelry Photorealistic Expert to create 3D renderings of 7 unique jewelry designs and 10 images per design for marketing purposes.-br-The ideal candidate will have a deep understanding of jewelry design, materials, and lighting, and the ability to produce photorealistic images that showcase our products in the best possible light.-br-Responsibilities:-br--. Collaborate with the design team to understand design specifications and requirements for each jewelry piece-br--. Create high-quality 3D models of jewelry designs, incorporating accurate representations of materials, gemstones, and finishes-br--. Produce 10 photorealistic images per design, showcasing various angles, lighting scenarios, and backgrounds-br--. Ensure images meet the highest quality standards and accurately represent the physical product-br--. Revise and iterate on renderings based on feedback from the design team and stakeholders-br--. Deliver final images in a timely manner, adhering to project deadlines-br-A Google Drive including all 10 expected final visual references will be provided after hiring-b-Budget-b-: $100-b-Posted On-b-: May 18, 2023 07:57 UTC-b-Category-b-: 3D Modeling & Rendering-b-Skills-b-:3D Rendering,     3D Design,     3D Modeling,     Autodesk Maya,     3D Product Rendering,     Autodesk 3ds Max,     Photorealistic Rendering,     Adobe Photoshop,     Jewelry,     Jewelry Rendering-b-Country-b-: Hong Kong-a-click to apply",3D Jewelry Photorealistic Expert - Upwork
"Need a catchy logo and professional t shirt designs that will sell. <br /><br /><b>Budget</b>: $2,000
<br /><b>Posted On</b>: May 18, 2023 07:53 UTC<br /><b>Category</b>: Graphic Design<br /><b>Skills</b>:Graphic Design,     Clothing,     Adobe Illustrator,     T-Shirt Design    
<br /><b>Location Requirement</b>: Only freelancers located in the United States may apply.
<br /><b>Country</b>: United States
<br /><a href=""https://www.upwork.com/jobs/Designer-create-hoodies-shirts-tank-tops_%7E0148f82fc036377b4f?source=rss"">click to apply</a>","Budget--: $2,000--Posted On--: May 18, 2023 07:53 UTC--Category--: Graphic Design--Skills--:Graphic Design,     Clothing,     Adobe Illustrator,     T-Shirt Design--Location Requirement--: Only freelancers located in the United States may apply.--Country--: United States-click to apply",https://www.upwork.com/jobs/Designer-create-hoodies-shirts-tank-tops_~0148f82fc036377b4f?source=rss,2023-05-18T07:53:08+00:00,https://www.upwork.com/jobs/Designer-create-hoodies-shirts-tank-tops_%7E0148f82fc036377b4f?source=rss,"None-Need a catchy logo and professional t shirt designs that will sell.-b-Budget-b-: $2,000-b-Posted On-b-: May 18, 2023 07:53 UTC-b-Category-b-: Graphic Design-b-Skills-b-:Graphic Design,     Clothing,     Adobe Illustrator,     T-Shirt Design-b-Location Requirement-b-: Only freelancers located in the United States may apply.-b-Country-b-: United States-a-click to apply",Designer to create hoodies t shirts tank tops  - Upwork
"Background:<br />
----------------<br />
Games2win is one of the largest mobile game publishers in the world with over 260 million app downloads! We entertain over 15 million players a month who love our top-ranked games.<br />
This requirement is for one of our largest-selling role-playing games - &lsquo;Decisions&rsquo;, which is already available on the iTunes and Android store.<br /><br />
Requirements:<br />
----------------<br />
We are looking for a Photoshop Artist, who is capable of photo editing and manipulating photos to create art assets for Decisions. She/he should have expertise in drawing, sketching, illustration, digital painting and Photoshop.<br /><br />
Aside from creating the art assets, final output needs to be delivered in specific sizes and formats, mainly PSDs and PNGs as required. <br />
We would like to create 300+ items every month which would be Bottoms, Tops, Accessories and Dresses.<br /><br />
Looking forward to receiving your proposals<br />
Thank you<br /><br /><b>Budget</b>: $1,000
<br /><b>Posted On</b>: May 18, 2023 07:49 UTC<br /><b>Category</b>: Illustration<br /><b>Skills</b>:2D Design,     Graphic Design,     Adobe Photoshop,     Adobe Illustrator,     Fashion &amp; Beauty,     Photo Editing,     Illustration    
<br /><b>Country</b>: India
<br /><a href=""https://www.upwork.com/jobs/Photoshop-Artist-for-Mobile-Fashion-Game_%7E01d30da620bd8a7d1a?source=rss"">click to apply</a>","Budget--: $1,000--Posted On--: May 18, 2023 07:49 UTC--Category--: Illustration--Skills--:2D Design,     Graphic Design,     Adobe Photoshop,     Adobe Illustrator,     Fashion & Beauty,     Photo Editing,     Illustration--Country--: India-click to apply",https://www.upwork.com/jobs/Photoshop-Artist-for-Mobile-Fashion-Game_~01d30da620bd8a7d1a?source=rss,2023-05-18T07:49:57+00:00,https://www.upwork.com/jobs/Photoshop-Artist-for-Mobile-Fashion-Game_%7E01d30da620bd8a7d1a?source=rss,"None-Background:-br------------------br-Games2win is one of the largest mobile game publishers in the world with over 260 million app downloads! We entertain over 15 million players a month who love our top-ranked games.-br-This requirement is for one of our largest-selling role-playing games - ‘Decisions’, which is already available on the iTunes and Android store.-br-Requirements:-br------------------br-We are looking for a Photoshop Artist, who is capable of photo editing and manipulating photos to create art assets for Decisions. She/he should have expertise in drawing, sketching, illustration, digital painting and Photoshop.-br-Aside from creating the art assets, final output needs to be delivered in specific sizes and formats, mainly PSDs and PNGs as required.-br-We would like to create 300+ items every month which would be Bottoms, Tops, Accessories and Dresses.-br-Looking forward to receiving your proposals-br-Thank you-b-Budget-b-: $1,000-b-Posted On-b-: May 18, 2023 07:49 UTC-b-Category-b-: Illustration-b-Skills-b-:2D Design,     Graphic Design,     Adobe Photoshop,     Adobe Illustrator,     Fashion & Beauty,     Photo Editing,     Illustration-b-Country-b-: India-a-click to apply",[DC] Photoshop 2D Artist for Mobile Fashion Game - Upwork
"I need a poster for a client that has a Speedway Motorsport Team, I will be needing a photo of the racecar turned into a graphic (yellow racecar attached) then a custom Māori graphic to go into the poster as the team emblem (something like the photo I&rsquo;ve attached) The name of the team is &ldquo;Once Were Warriors&rdquo;, taking inspiration from the New Zealand movie &ldquo;Once Were Warriors&rdquo; I will also be needing the numbers of each racecar on the poster (there are 4-5 race cars) I&rsquo;ve attached a photo of a similar poster &ldquo;Gisbourne Giants&rdquo; I want the poster to be up to the standard of this one and to look similar to this. The right candidate for this job has to be fluent in English and have great communication as I&rsquo;m sick of dealing with designers that don&rsquo;t reply to messages or reply a day late. You have to be able be patient and be prepared that they&rsquo;re may be revisions needed. This is an important project and I need someone that works fast but also produces quality work. Im looking for an expert. You will have more chance of getting hired if you can share previous jobs of Motorsport related designs or even quality custom graphics. Contact me if this job sounds like the right one for you<br /><br /><b>Budget</b>: $60
<br /><b>Posted On</b>: May 18, 2023 07:46 UTC<br /><b>Category</b>: Graphic Design<br /><b>Skills</b>:Custom Graphics,     Graphic Design,     Poster,     Adobe Illustrator    
<br /><b>Country</b>: New Zealand
<br /><a href=""https://www.upwork.com/jobs/Motorsport-Team-Poster_%7E018c0429dae085f507?source=rss"">click to apply</a>","Budget--: $60--Posted On--: May 18, 2023 07:46 UTC--Category--: Graphic Design--Skills--:Custom Graphics,     Graphic Design,     Poster,     Adobe Illustrator--Country--: New Zealand-click to apply",https://www.upwork.com/jobs/Motorsport-Team-Poster_~018c0429dae085f507?source=rss,2023-05-18T07:46:56+00:00,https://www.upwork.com/jobs/Motorsport-Team-Poster_%7E018c0429dae085f507?source=rss,"None-I need a poster for a client that has a Speedway Motorsport Team, I will be needing a photo of the racecar turned into a graphic (yellow racecar attached) then a custom Māori graphic to go into the poster as the team emblem (something like the photo I’ve attached) The name of the team is “Once Were Warriors”, taking inspiration from the New Zealand movie “Once Were Warriors” I will also be needing the numbers of each racecar on the poster (there are 4-5 race cars) I’ve attached a photo of a similar poster “Gisbourne Giants” I want the poster to be up to the standard of this one and to look similar to this. The right candidate for this job has to be fluent in English and have great communication as I’m sick of dealing with designers that don’t reply to messages or reply a day late. You have to be able be patient and be prepared that they’re may be revisions needed. This is an important project and I need someone that works fast but also produces quality work. Im looking for an expert. You will have more chance of getting hired if you can share previous jobs of Motorsport related designs or even quality custom graphics. Contact me if this job sounds like the right one for you-b-Budget-b-: $60-b-Posted On-b-: May 18, 2023 07:46 UTC-b-Category-b-: Graphic Design-b-Skills-b-:Custom Graphics,     Graphic Design,     Poster,     Adobe Illustrator-b-Country-b-: New Zealand-a-click to apply",Motorsport Team Poster - Upwork
